title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,day_of_week,quarter,magnitude_from_title,city,location_country,magnitude_category,depth_category,seismic_energy,alert_level,distance_from_equator,time_of_day,season,magnitude_depth_ratio,is_coastal
"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,2017-04-03 17:40:00,7,8,green,0,1297,us,0,2.36,15.0,mww,29.0,-22.6784,25.1558,"Moijabana, Botswana",Africa,Botswana,2017,4,3,17,0,2,6.5,Moijabana,Botswana,Major,Very Shallow,354813389233576.06,green,22.6784,Afternoon,Spring,0.22413793103448276,True
"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,2017-03-29 04:09:00,6,7,yellow,1,671,us,0,4.591,14.0,mww,17.0,56.9401,162.786,"Ust’-Kamchatsk Staryy, Russia",Asia,Russia,2017,3,29,4,2,1,6.6,Ust’-Kamchatsk Staryy,Russia,Great,Very Shallow,501187233627271.44,yellow,56.9401,Night,Winter,0.388235294117647,True
M 6.9 - south of the Fiji Islands,6.9,2017-02-24 17:28:00,2,3,green,1,733,us,0,6.012,19.0,mww,414.5,-23.2593,-178.804,the Fiji Islands,Unknown,Unknown,2017,2,24,17,4,1,6.9,the Fiji Islands,,Great,Deep,1412537544622761.2,green,23.2593,Afternoon,Winter,0.016646562123039808,False
"M 6.5 - 41 km E of Padilla, Bolivia",6.5,2017-02-21 14:09:00,3,3,green,0,653,us,0,4.242,14.0,mww,595.98,-19.2814,-63.9047,"Padilla, Bolivia",South America,Bolivia,2017,2,21,14,1,1,6.5,Padilla,Bolivia,Major,Very Deep,354813389233576.06,green,19.2814,Afternoon,Winter,0.010906406255243464,False
"M 6.5 - 11 km N of Mabua, Philippines",6.5,2017-02-10 14:03:00,8,7,yellow,1,718,us,0,2.822,36.0,mww,15.0,9.9071,125.452,"Mabua, Philippines",Unknown,Philippines,2017,2,10,14,4,1,6.5,Mabua,Philippines,Major,Very Shallow,354813389233576.06,yellow,9.9071,Afternoon,Winter,0.43333333333333335,True
"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,2017-01-22 04:30:00,9,7,yellow,1,987,us,0,3.625,9.0,mww,135.0,-6.2464,155.172,"Panguna, Papua New Guinea",Unknown,Papua New Guinea,2017,1,22,4,6,1,7.9,Panguna,Papua New Guinea,Catastrophic,Shallow,4.466835921509653e+16,yellow,6.2464,Night,Winter,0.05851851851851852,False
"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,2017-01-19 23:04:00,6,6,green,1,654,us,0,1.64,21.0,mww,36.0,-10.3506,161.335,"Kirakira, Solomon Islands",Unknown,Solomon Islands,2017,1,19,23,3,1,6.5,Kirakira,Solomon Islands,Major,Very Shallow,354813389233576.06,green,10.3506,Evening,Winter,0.18055555555555555,True
"M 7.3 - 189 km SSE of Tabiauan, Philippines",7.3,2017-01-10 06:13:00,6,3,green,1,849,us,0,3.813,18.0,mww,627.17,4.4782,122.617,"Tabiauan, Philippines",Unknown,Philippines,2017,1,10,6,1,1,7.3,Tabiauan,Philippines,Severe,Very Deep,5623413251903491.0,green,4.4782,Night,Winter,0.011639587352711386,False
"M 6.9 - 225 km SW of Nadi, Fiji",6.9,2017-01-03 21:52:00,6,4,green,1,742,us,0,2.495,13.0,mww,12.0,-19.3733,176.052,"Nadi, Fiji",Unknown,Fiji,2017,1,3,21,1,1,6.9,Nadi,Fiji,Great,Very Shallow,1412537544622761.2,green,19.3733,Evening,Winter,0.5750000000000001,True
"M 7.6 - 41 km SW of Quellón, Chile",7.6,2016-12-25 14:22:00,9,8,yellow,1,1152,us,0,0.355,29.0,mww,38.0,-43.4064,-73.9413,"Quellón, Chile",South America,Chile,2016,12,25,14,6,4,7.6,Quellón,Chile,Catastrophic,Very Shallow,1.5848931924611108e+16,yellow,43.4064,Afternoon,Fall,0.19999999999999998,True
"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,2016-12-21 00:17:00,5,5,green,0,726,us,0,3.38,17.0,mww,152.0,-7.5082,127.921,"Lospalos, Timor Leste",Unknown,Indonesia,2016,12,21,0,2,4,6.7,Lospalos,Timor Leste,Great,Intermediate,707945784384140.2,green,7.5082,Night,Fall,0.04407894736842105,False
"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,2016-12-17 10:51:00,9,7,yellow,1,972,us,0,1.389,13.0,mww,94.54,-4.5049,153.522,"Kokopo, Papua New Guinea",Unknown,Papua New Guinea,2016,12,17,10,5,4,7.9,Kokopo,Papua New Guinea,Catastrophic,Shallow,4.466835921509653e+16,yellow,4.5049,Morning,Fall,0.08356251322191664,False
"M 6.9 - 92 km WSW of Kirakira, Solomon Islands",6.9,2016-12-09 19:10:00,8,6,green,1,737,us,0,1.747,26.0,mww,19.73,-10.749,161.132,"Kirakira, Solomon Islands",Unknown,Solomon Islands,2016,12,9,19,4,4,6.9,Kirakira,Solomon Islands,Great,Very Shallow,1412537544622761.2,green,10.749,Evening,Fall,0.34972123669538774,True
"M 6.5 - 79 km WSW of Kirakira, Solomon Islands",6.5,2016-12-08 21:56:00,0,5,green,0,650,us,0,1.937,18.0,mww,12.26,-10.8416,161.314,"Kirakira, Solomon Islands",Unknown,Solomon Islands,2016,12,8,21,3,4,6.5,Kirakira,Solomon Islands,Major,Very Shallow,354813389233576.06,green,10.8416,Evening,Fall,0.5301794453507341,True
"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,2016-12-08 17:38:00,9,8,green,1,961,us,0,1.836,13.0,mww,40.0,-10.6812,161.327,"Kirakira, Solomon Islands",Unknown,Solomon Islands,2016,12,8,17,3,4,7.8,Kirakira,Solomon Islands,Catastrophic,Very Shallow,3.162277660168379e+16,green,10.6812,Afternoon,Fall,0.195,True
"M 6.6 - 164 km W of Ferndale, California",6.6,2016-12-08 14:49:00,5,4,green,1,1120,us,0,1.405,55.0,mww,8.45,40.4535,-126.194,"Ferndale, California",Unknown,California,2016,12,8,14,3,4,6.6,Ferndale,California,Great,Very Shallow,501187233627271.44,green,40.4535,Afternoon,Fall,0.7810650887573964,True
"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,2016-12-06 22:03:00,9,8,yellow,0,731,us,0,0.778,27.0,mww,13.0,5.2834,96.1678,"Reuleuet, Indonesia",Unknown,Indonesia,2016,12,6,22,1,4,6.5,Reuleuet,Indonesia,Major,Very Shallow,354813389233576.06,yellow,5.2834,Evening,Fall,0.5,True
"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,2016-11-25 14:24:00,8,7,green,0,693,us,0,1.697,20.0,mww,17.0,39.2732,73.9776,"Murghob, Tajikistan",Asia,People's Republic of China,2016,11,25,14,4,4,6.6,Murghob,Tajikistan,Great,Very Shallow,501187233627271.44,green,39.2732,Afternoon,Fall,0.388235294117647,True
"M 6.9 - 156 km SSW of Puerto El Triunfo, El Salvador",6.9,2016-11-24 18:43:00,5,4,green,1,855,us,0,1.796,20.0,mww,10.0,11.9097,-88.8968,"Puerto El Triunfo, El Salvador",Unknown,El Salvador,2016,11,24,18,3,4,6.9,Puerto El Triunfo,El Salvador,Great,Very Shallow,1412537544622761.2,green,11.9097,Afternoon,Fall,0.6900000000000001,True
"M 6.9 - 35 km ESE of Namie, Japan",6.9,2016-11-21 20:59:00,9,6,green,1,1144,us,0,0.671,10.0,mww,9.0,37.3931,141.387,"Namie, Japan",Asia,Japan,2016,11,21,20,0,4,6.9,Namie,Japan,Great,Very Shallow,1412537544622761.2,green,37.3931,Evening,Fall,0.7666666666666667,True
"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,2016-11-14 00:34:00,7,7,yellow,1,664,us,0,0.283,56.0,mww,9.0,-42.6058,173.254,"Amberley, New Zealand",Unknown,New Zealand,2016,11,14,0,0,4,6.5,Amberley,New Zealand,Major,Very Shallow,354813389233576.06,yellow,42.6058,Night,Fall,0.7222222222222222,True
"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,2016-11-13 11:32:00,6,7,yellow,1,656,us,0,0.135,58.0,mww,10.0,-42.3205,173.669,"Blenheim, New Zealand",Unknown,New Zealand,2016,11,13,11,6,4,6.5,Blenheim,New Zealand,Major,Very Shallow,354813389233576.06,yellow,42.3205,Morning,Fall,0.65,True
"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,2016-11-13 11:02:00,9,9,orange,1,1545,us,0,0.481,21.0,mww,15.11,-42.7373,173.054,"Amberley, New Zealand",Unknown,New Zealand,2016,11,13,11,6,4,7.8,Amberley,New Zealand,Catastrophic,Very Shallow,3.162277660168379e+16,orange,42.7373,Morning,Fall,0.5162144275314361,True
"M 6.6 - 5 km ESE of Preci, Italy",6.6,2016-10-30 06:40:00,9,8,red,0,2840,us,0,0.174,25.0,mww,8.0,42.8621,13.0961,"Preci, Italy",Europe,Italy,2016,10,30,6,6,4,6.6,Preci,Italy,Great,Very Shallow,501187233627271.44,red,42.8621,Night,Fall,0.825,True
"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,2016-10-19 00:26:00,3,3,green,0,677,us,0,2.022,16.0,mww,614.0,-4.8626,108.163,"Pamanukan, Indonesia",Unknown,Indonesia,2016,10,19,0,2,4,6.6,Pamanukan,Indonesia,Great,Very Deep,501187233627271.44,green,4.8626,Night,Fall,0.010749185667752443,False
"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,2016-10-17 06:14:00,3,6,green,1,716,us,0,3.727,11.0,mww,42.0,-6.0033,148.887,"Kandrian, Papua New Guinea",Unknown,Papua New Guinea,2016,10,17,6,0,4,6.8,Kandrian,Papua New Guinea,Great,Very Shallow,1000000000000000.0,green,6.0033,Night,Fall,0.1619047619047619,True
M 6.9 - Fiji region,6.9,2016-09-24 21:28:00,2,3,green,1,733,us,0,4.051,9.0,mww,596.4,-19.7819,-178.244,Fiji region,Unknown,Fiji,2016,9,24,21,5,3,6.9,Fiji region,,Great,Very Deep,1412537544622761.2,green,19.7819,Evening,Summer,0.011569416498993965,False
"M 7.0 - 175 km NE of Gisborne, New Zealand",7.0,2016-09-01 16:37:00,5,6,green,1,897,us,0,0.698,21.0,mww,19.0,-37.3586,179.146,"Gisborne, New Zealand",Unknown,New Zealand,2016,9,1,16,3,3,7.0,Gisborne,New Zealand,Great,Very Shallow,1995262314968882.8,green,37.3586,Afternoon,Summer,0.3684210526315789,True
"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,2016-08-31 03:11:00,4,3,green,1,713,us,0,0.803,12.0,mww,476.0,-3.6849,152.792,"Rabaul, Papua New Guinea",Unknown,Papua New Guinea,2016,8,31,3,2,3,6.8,Rabaul,Papua New Guinea,Great,Deep,1000000000000000.0,green,3.6849,Night,Summer,0.014285714285714285,False
"M 6.8 - 26 km W of Chauk, Myanmar",6.8,2016-08-24 10:34:00,6,6,yellow,0,981,us,0,1.802,17.0,mww,82.0,20.9228,94.569,"Chauk, Myanmar",Asia,Myanmar,2016,8,24,10,2,3,6.8,Chauk,Myanmar,Great,Shallow,1000000000000000.0,yellow,20.9228,Morning,Summer,0.08292682926829269,False
M 7.2 - southeast of the Loyalty Islands,7.2,2016-08-12 01:26:00,6,5,green,1,799,us,0,4.823,14.0,mww,16.37,-22.4765,173.117,the Loyalty Islands,Unknown,Unknown,2016,8,12,1,4,3,7.2,the Loyalty Islands,,Severe,Very Shallow,3981071705534985.5,green,22.4765,Night,Summer,0.4398289554062309,True
"M 7.7 - Pagan region, Northern Mariana Islands",7.7,2016-07-29 21:18:00,5,6,green,1,971,us,0,3.294,14.0,mww,196.0,18.5429,145.507,"Pagan region, Northern Mariana Islands",Unknown,Northern Mariana Islands,2016,7,29,21,4,3,7.7,Pagan region,Northern Mariana Islands,Catastrophic,Intermediate,2.2387211385683468e+16,green,18.5429,Evening,Summer,0.039285714285714285,False
"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,2016-06-01 22:56:00,4,6,green,0,671,us,0,2.435,16.0,mww,50.0,-2.0967,100.665,"Sungai Penuh, Indonesia",Unknown,Indonesia,2016,6,1,22,2,2,6.6,Sungai Penuh,Indonesia,Great,Very Shallow,501187233627271.44,green,2.0967,Evening,Spring,0.132,False
M 7.2 - South Sandwich Islands region,7.2,2016-05-28 09:46:00,1,6,green,1,798,us,0,5.803,24.0,mww,78.0,-56.2409,-26.9353,South Sandwich Islands region,Unknown,Unknown,2016,5,28,9,5,2,7.2,South Sandwich Islands region,,Severe,Shallow,3981071705534985.5,green,56.2409,Morning,Spring,0.09230769230769231,False
"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,2016-05-18 16:46:00,8,7,green,1,780,us,0,1.192,17.0,mww,29.95,0.4947,-79.616,"Rosa Zarate, Ecuador",South America,Ecuador,2016,5,18,16,2,2,6.9,Rosa Zarate,Ecuador,Great,Very Shallow,1412537544622761.2,green,0.4947,Afternoon,Spring,0.23038397328881471,True
"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,2016-05-18 07:57:00,5,7,green,1,744,us,0,1.352,21.0,mww,16.0,0.4261,-79.7899,"Muisne, Ecuador",South America,Ecuador,2016,5,18,7,2,2,6.7,Muisne,Ecuador,Great,Very Shallow,707945784384140.2,green,0.4261,Morning,Spring,0.41875,True
"M 7.0 - 3 km NW of Norsup, Vanuatu",7.0,2016-04-28 19:33:00,7,7,green,1,755,us,0,0.616,14.0,mww,24.0,-16.0429,167.379,"Norsup, Vanuatu",Unknown,Vanuatu,2016,4,28,19,3,2,7.0,Norsup,Vanuatu,Great,Very Shallow,1995262314968882.8,green,16.0429,Evening,Spring,0.2916666666666667,True
"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,2016-04-16 23:58:00,9,9,orange,1,1163,us,0,1.44,15.0,mww,20.59,0.3819,-79.9218,"Muisne, Ecuador",South America,Ecuador,2016,4,16,23,5,2,7.8,Muisne,Ecuador,Catastrophic,Very Shallow,3.162277660168379e+16,orange,0.3819,Evening,Spring,0.3788246721709568,True
"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,2016-04-15 16:25:00,9,9,red,1,2074,us,0,0.349,32.0,mww,10.0,32.7906,130.754,"Kumamoto, Japan",Asia,Japan,2016,4,15,16,4,2,7.0,Kumamoto,Japan,Great,Very Shallow,1995262314968882.8,red,32.7906,Afternoon,Spring,0.7,True
"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,2016-04-13 13:55:00,6,6,yellow,0,903,us,0,3.001,14.0,mww,136.0,23.0944,94.8654,"Mawlaik, Myanmar",Asia,Myanmar,2016,4,13,13,2,2,6.9,Mawlaik,Myanmar,Great,Shallow,1412537544622761.2,yellow,23.0944,Afternoon,Spring,0.05073529411764706,False
"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,2016-04-10 10:28:00,6,4,green,0,738,us,0,0.789,17.0,mww,212.0,36.4725,71.1311,"Ashk?sham, Afghanistan",Asia,Afghanistan,2016,4,10,10,6,2,6.6,Ashk?sham,Afghanistan,Great,Intermediate,501187233627271.44,green,36.4725,Morning,Spring,0.031132075471698113,False
"M 6.7 - 104 km W of Sola, Vanuatu",6.7,2016-04-07 03:32:00,7,5,green,1,692,us,0,6.787,25.0,mww,27.59,-13.9805,166.594,"Sola, Vanuatu",Unknown,Vanuatu,2016,4,7,3,3,2,6.7,Sola,Vanuatu,Great,Very Shallow,707945784384140.2,green,13.9805,Night,Spring,0.2428416092787242,True
"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,2016-04-06 06:58:00,7,6,green,1,691,us,0,6.697,19.0,mww,24.0,-14.0683,166.624,"Sola, Vanuatu",Unknown,Vanuatu,2016,4,6,6,2,2,6.7,Sola,Vanuatu,Great,Very Shallow,707945784384140.2,green,14.0683,Night,Spring,0.2791666666666667,True
"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,2016-04-03 08:23:00,7,6,green,1,734,us,0,1.166,25.0,mww,26.0,-14.3235,166.855,"Port-Olry, Vanuatu",Unknown,Vanuatu,2016,4,3,8,6,2,6.9,Port-Olry,Vanuatu,Great,Very Shallow,1412537544622761.2,green,14.3235,Morning,Spring,0.2653846153846154,True
"M 7.8 - southwest of Sumatra, Indonesia",7.8,2016-03-02 12:49:00,4,3,green,0,948,us,0,7.009,20.0,mww,24.0,-4.9521,94.3299,"Sumatra, Indonesia",Unknown,Indonesia,2016,3,2,12,2,1,7.8,Sumatra,Indonesia,Catastrophic,Very Shallow,3.162277660168379e+16,green,4.9521,Morning,Winter,0.325,True
"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,2016-01-30 03:25:00,3,7,green,1,799,us,0,0.958,17.0,mww,177.0,53.9776,158.546,"Mil’kovo, Russia",Asia,Russia,2016,1,30,3,5,1,7.2,Mil’kovo,Russia,Severe,Intermediate,3981071705534985.5,green,53.9776,Night,Winter,0.04067796610169492,False
"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,2016-01-24 10:30:00,7,7,green,1,1496,ak,0,0.0,0.0,mw,125.6,59.6204,-153.339,"Pedro Bay, Alaska",North America,United States of America,2016,1,24,10,6,1,7.1,Pedro Bay,Alaska,Severe,Shallow,2818382931264449.0,green,59.6204,Morning,Winter,0.05652866242038217,False
"M 6.6 - 203 km SW of La Cruz de Loreto, Mexico",6.6,2016-01-21 18:06:00,3,4,green,1,673,us,0,2.413,74.0,mww,10.0,18.8239,-106.934,"La Cruz de Loreto, Mexico",Unknown,Mexico,2016,1,21,18,3,1,6.6,La Cruz de Loreto,Mexico,Great,Very Shallow,501187233627271.44,green,18.8239,Afternoon,Winter,0.6599999999999999,True
"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,2016-01-14 03:25:00,5,6,green,1,717,us,0,0.281,22.0,mww,46.0,41.9723,142.781,"Shizunai-furukawach?, Japan",Asia,Japan,2016,1,14,3,3,1,6.7,Shizunai-furukawach?,Japan,Great,Very Shallow,707945784384140.2,green,41.9723,Night,Winter,0.14565217391304347,True
"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,2016-01-11 16:38:00,3,6,green,1,651,us,0,3.144,22.0,mww,13.0,3.8965,126.862,"Sarangani, Philippines",Unknown,Indonesia,2016,1,11,16,0,1,6.5,Sarangani,Philippines,Major,Very Shallow,354813389233576.06,green,3.8965,Afternoon,Winter,0.5,True
"M 6.7 - 29 km W of Imph?l, India",6.7,2016-01-03 23:05:00,8,7,orange,0,1515,us,0,1.794,16.0,mww,55.0,24.8036,93.6505,"Imph?l, India",Asia,India,2016,1,3,23,6,1,6.7,Imph?l,India,Great,Very Shallow,707945784384140.2,orange,24.8036,Evening,Winter,0.12181818181818183,False
"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,2015-12-17 19:49:00,8,6,green,1,765,us,0,0.41,35.0,mww,85.0,15.8015,-93.633,"Manuel Ávila Camacho (Ponte Duro), Mexico",Unknown,Mexico,2015,12,17,19,3,4,6.6,Manuel Ávila Camacho (Ponte Duro),Mexico,Great,Shallow,501187233627271.44,green,15.8015,Evening,Fall,0.0776470588235294,False
"M 6.9 - 107 km SE of Amahai, Indonesia",6.9,2015-12-09 10:21:00,8,5,green,0,738,us,0,2.979,14.0,mww,21.0,-4.1064,129.508,"Amahai, Indonesia",Unknown,Indonesia,2015,12,9,10,2,4,6.9,Amahai,Indonesia,Great,Very Shallow,1412537544622761.2,green,4.1064,Morning,Fall,0.32857142857142857,True
"M 7.2 - 104 km W of Murghob, Tajikistan",7.2,2015-12-07 07:50:00,4,7,green,0,827,us,0,1.116,18.0,mww,22.0,38.2107,72.7797,"Murghob, Tajikistan",Asia,Tajikistan,2015,12,7,7,0,4,7.2,Murghob,Tajikistan,Severe,Very Shallow,3981071705534985.5,green,38.2107,Morning,Fall,0.32727272727272727,True
"M 6.7 - 125 km SSW of Tarauacá, Brazil",6.7,2015-11-26 05:45:00,2,3,green,0,691,us,0,2.033,19.0,mww,602.75,-9.1825,-71.2574,"Tarauacá, Brazil",South America,Brazil,2015,11,26,5,3,4,6.7,Tarauacá,Brazil,Great,Very Deep,707945784384140.2,green,9.1825,Night,Fall,0.011115719618415596,False
"M 7.6 - 185 km WNW of Iñapari, Peru",7.6,2015-11-24 22:50:00,5,4,green,0,896,us,0,2.852,10.0,mww,620.56,-10.0598,-71.0184,"Iñapari, Peru",South America,Peru,2015,11,24,22,1,4,7.6,Iñapari,Peru,Catastrophic,Very Deep,1.5848931924611108e+16,green,10.0598,Evening,Fall,0.012247002707232177,False
"M 7.6 - 155 km WNW of Iñapari, Peru",7.6,2015-11-24 22:45:00,6,5,green,1,957,us,0,3.287,10.0,mww,606.21,-10.5372,-70.9437,"Iñapari, Peru",South America,Peru,2015,11,24,22,1,4,7.6,Iñapari,Peru,Catastrophic,Very Deep,1.5848931924611108e+16,green,10.5372,Evening,Fall,0.012536909651770838,False
"M 6.8 - 153 km WSW of Buala, Solomon Islands",6.8,2015-11-18 18:31:00,5,6,green,1,715,us,0,1.599,19.0,mww,12.59,-8.8994,158.422,"Buala, Solomon Islands",Unknown,Solomon Islands,2015,11,18,18,2,4,6.8,Buala,Solomon Islands,Great,Very Shallow,1000000000000000.0,green,8.8994,Afternoon,Fall,0.5401111993645751,True
"M 6.5 - 19 km SSW of Lefkáda, Greece",6.5,2015-11-17 07:10:00,7,7,orange,0,1018,us,0,0.0,0.0,mww,11.0,38.67,20.6,"Lefkáda, Greece",Europe,Greece,2015,11,17,7,1,4,6.5,Lefkáda,Greece,Major,Very Shallow,354813389233576.06,orange,38.67,Morning,Fall,0.5909090909090909,True
"M 6.7 - 140 km WSW of Makurazaki, Japan",6.7,2015-11-13 20:51:00,5,4,green,0,702,us,0,1.444,17.0,mww,12.0,31.0009,128.873,"Makurazaki, Japan",Unknown,Japan,2015,11,13,20,4,4,6.7,Makurazaki,Japan,Great,Very Shallow,707945784384140.2,green,31.0009,Evening,Fall,0.5583333333333333,True
"M 6.9 - 85 km NW of Coquimbo, Chile",6.9,2015-11-11 02:46:00,5,6,green,0,744,us,0,0.821,43.0,mww,10.0,-29.5097,-72.0585,"Coquimbo, Chile",Unknown,Chile,2015,11,11,2,2,4,6.9,Coquimbo,Chile,Great,Very Shallow,1412537544622761.2,green,29.5097,Night,Fall,0.6900000000000001,True
"M 6.9 - 81 km NW of Coquimbo, Chile",6.9,2015-11-11 01:54:00,6,6,green,1,761,us,0,0.784,32.0,mww,12.0,-29.5067,-72.0068,"Coquimbo, Chile",Unknown,Chile,2015,11,11,1,2,4,6.9,Coquimbo,Chile,Great,Very Shallow,1412537544622761.2,green,29.5067,Night,Fall,0.5750000000000001,True
"M 6.6 - Nicobar Islands, India region",6.6,2015-11-08 16:47:00,7,4,green,0,675,us,0,2.792,31.0,mww,10.0,6.8431,94.648,"Nicobar Islands, India region",Unknown,India region,2015,11,8,16,6,4,6.6,Nicobar Islands,India region,Great,Very Shallow,501187233627271.44,green,6.8431,Afternoon,Fall,0.6599999999999999,True
"M 6.8 - 39 km SW of Ovalle, Chile",6.8,2015-11-07 07:31:00,7,7,green,1,841,us,0,0.258,41.0,mww,46.0,-30.8796,-71.4519,"Ovalle, Chile",South America,Chile,2015,11,7,7,5,4,6.8,Ovalle,Chile,Great,Very Shallow,1000000000000000.0,green,30.8796,Morning,Fall,0.14782608695652175,True
"M 6.5 - 47 km NW of Maubara, Timor Leste",6.5,2015-11-04 03:44:00,5,7,green,0,657,us,0,1.53,21.0,mww,20.0,-8.3381,124.875,"Maubara, Timor Leste",Unknown,Indonesia,2015,11,4,3,2,4,6.5,Maubara,Timor Leste,Major,Very Shallow,354813389233576.06,green,8.3381,Night,Fall,0.325,True
"M 7.5 - Hindu Kush region, Afghanistan",7.5,2015-10-26 09:09:00,8,7,orange,0,1448,us,0,0.622,18.0,mww,231.0,36.5244,70.3676,"Hindu Kush region, Afghanistan",Asia,Afghanistan,2015,10,26,9,0,4,7.5,Hindu Kush region,Afghanistan,Severe,Intermediate,1.1220184543019652e+16,orange,36.5244,Morning,Fall,0.032467532467532464,False
"M 7.1 - 31 km NE of Port-Olry, Vanuatu",7.1,2015-10-20 21:52:00,6,6,green,1,780,us,0,0.592,11.0,mww,135.0,-14.8595,167.303,"Port-Olry, Vanuatu",Unknown,Vanuatu,2015,10,20,21,1,4,7.1,Port-Olry,Vanuatu,Severe,Shallow,2818382931264449.0,green,14.8595,Evening,Fall,0.05259259259259259,False
"M 6.6 - 28 km N of Sorong, Indonesia",6.6,2015-09-24 15:53:00,7,7,green,0,671,us,0,2.486,13.0,mww,18.0,-0.6212,131.262,"Sorong, Indonesia",Unknown,Indonesia,2015,9,24,15,3,3,6.6,Sorong,Indonesia,Great,Very Shallow,501187233627271.44,green,0.6212,Afternoon,Summer,0.36666666666666664,True
"M 6.6 - 22 km WSW of Illapel, Chile",6.6,2015-09-21 17:40:00,5,7,green,1,820,us,0,1.064,14.0,mww,35.0,-31.7275,-71.3792,"Illapel, Chile",South America,Chile,2015,9,21,17,0,3,6.6,Illapel,Chile,Great,Very Shallow,501187233627271.44,green,31.7275,Afternoon,Summer,0.18857142857142856,True
"M 6.7 - 61 km WNW of Illapel, Chile",6.7,2015-09-17 04:10:00,5,7,green,0,718,us,0,0.853,35.0,mww,23.0,-31.5173,-71.804,"Illapel, Chile",Unknown,Chile,2015,9,17,4,3,3,6.7,Illapel,Chile,Great,Very Shallow,707945784384140.2,green,31.5173,Night,Summer,0.29130434782608694,True
"M 6.5 - 54 km WNW of Illapel, Chile",6.5,2015-09-17 03:55:00,6,7,green,0,657,us,0,0.749,62.0,mww,27.0,-31.4244,-71.6876,"Illapel, Chile",Unknown,Chile,2015,9,17,3,3,3,6.5,Illapel,Chile,Major,Very Shallow,354813389233576.06,green,31.4244,Night,Summer,0.24074074074074073,True
"M 7.0 - 25 km WNW of Illapel, Chile",7.0,2015-09-16 23:18:00,8,7,green,0,799,us,0,0.903,13.0,mww,28.41,-31.5622,-71.4262,"Illapel, Chile",South America,Chile,2015,9,16,23,2,3,7.0,Illapel,Chile,Great,Very Shallow,1995262314968882.8,green,31.5622,Evening,Summer,0.24639211545230552,True
"M 8.3 - 48 km W of Illapel, Chile",8.3,2015-09-16 22:54:00,9,8,orange,1,1960,us,0,0.684,19.0,mww,22.44,-31.5729,-71.6744,"Illapel, Chile",Unknown,Chile,2015,9,16,22,2,3,8.3,Illapel,Chile,Mega,Very Shallow,1.778279410038923e+17,orange,31.5729,Evening,Summer,0.3698752228163993,True
"M 6.7 - 95 km SW of Topolobampo, Mexico",6.7,2015-09-13 08:14:00,5,5,green,1,708,us,0,1.256,123.0,mww,10.0,24.913,-109.623,"Topolobampo, Mexico",Unknown,Mexico,2015,9,13,8,6,3,6.7,Topolobampo,Mexico,Great,Very Shallow,707945784384140.2,green,24.913,Morning,Summer,0.67,True
"M 6.5 - 177 km SE of Gizo, Solomon Islands",6.5,2015-08-12 18:49:00,0,5,green,1,650,us,0,2.045,16.0,mww,6.43,-9.3293,157.877,"Gizo, Solomon Islands",Unknown,Solomon Islands,2015,8,12,18,2,3,6.5,Gizo,Solomon Islands,Major,Very Shallow,354813389233576.06,green,9.3293,Afternoon,Summer,1.010886469673406,True
"M 6.6 - 186 km WNW of Malango, Solomon Islands",6.6,2015-08-10 04:12:00,3,5,green,1,671,us,0,1.872,20.0,mww,22.0,-9.3438,158.053,"Malango, Solomon Islands",Unknown,Solomon Islands,2015,8,10,4,0,3,6.6,Malango,Solomon Islands,Great,Very Shallow,501187233627271.44,green,9.3438,Night,Summer,0.3,True
